Shaft Encoder(cm),Axial_Sig,Radial_Sig,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32
2425.3525,1190.57,-869.26,984.38,992.19,867.19,984.38,968.75,1000,1007.81,968.75,1023.44,945.31,992.19,1015.63,1890.63,1046.88,1992.19,921.88,1007.81,1007.81,1953.13,1000,906.25,906.25,914.06,937.5,921.88,945.31,960.94,859.38,890.63,937.5,953.13,921.88
2425.6176,1186.02,-737.17,992.19,1000,875,992.19,992.19,1000,1015.63,976.56,1039.06,945.31,1007.81,1015.63,1906.25,1062.5,1992.19,937.5,1023.44,1015.63,1906.25,1015.63,921.88,921.88,921.88,945.31,937.5,945.31,968.75,867.19,898.44,945.31,953.13,929.69
2426.0342,1195.14,-608.23,1000,1015.63,890.63,1000,992.19,1007.81,1015.63,984.38,1039.06,960.94,1007.81,1031.25,1914.06,1062.5,1992.19,937.5,1031.25,1023.44,1906.25,1015.63,929.69,937.5,929.69,953.13,945.31,953.13,968.75,875,906.25,960.94,960.94,945.31
2426.7159,1222.58,-478.83,1007.81,1023.44,898.44,1007.81,992.19,1023.44,1039.06,984.38,1054.69,968.75,1023.44,1046.88,1921.88,1078.13,1992.19,960.94,1039.06,1039.06,1906.25,1023.44,945.31,945.31,945.31,960.94,960.94,976.56,984.38,890.63,914.06,968.75,976.56,953.13
2427.1325,1266.7,-352.73,1023.44,1023.44,906.25,1007.81,1007.81,1023.44,1031.25,1000,1054.69,968.75,1031.25,1054.69,1921.88,1085.94,1992.19,968.75,1039.06,1039.06,1906.25,1031.25,945.31,953.13,953.13,968.75,960.94,968.75,984.38,890.63,921.88,976.56,984.38,960.94
2427.5491,1317.97,-235.69,1023.44,1031.25,914.06,1015.63,1007.81,1031.25,1039.06,1000,1062.5,976.56,1031.25,1062.5,1929.69,1093.75,1992.19,968.75,1054.69,1046.88,1914.06,1039.06,953.13,945.31,960.94,968.75,960.94,976.56,992.19,890.63,921.88,984.38,984.38,968.75
2428.6096,1381.2,-123.32,1031.25,1039.06,914.06,1023.44,1015.63,1039.06,1039.06,1015.63,1070.31,992.19,1046.88,1078.13,1953.13,1101.56,1992.19,992.19,1062.5,1062.5,1906.25,1046.88,960.94,960.94,960.94,976.56,968.75,992.19,1000,906.25,937.5,984.38,992.19,976.56
2428.9883,1447.12,-16.82,1039.06,1039.06,914.06,1023.44,1015.63,1031.25,1046.88,1015.63,1062.5,976.56,1054.69,1070.31,1953.13,1101.56,1992.19,984.38,1062.5,1062.5,1914.06,1046.88,968.75,968.75,960.94,976.56,968.75,984.38,992.19,898.44,937.5,992.19,992.19,984.38
2429.2534,1508.93,80.3,1039.06,1039.06,921.88,1023.44,1007.81,1046.88,1054.69,1007.81,1070.31,992.19,1054.69,1070.31,1960.94,1117.19,1992.19,992.19,1070.31,1070.31,1914.06,1046.88,960.94,960.94,968.75,984.38,976.56,992.19,1000,898.44,945.31,1000,1000,984.38
2429.6322,1572.68,166.39,1046.88,1046.88,921.88,1031.25,1015.63,1039.06,1054.69,1015.63,1078.13,984.38,1062.5,1085.94,1960.94,1109.38,1992.19,1000,1070.31,1078.13,1960.94,1054.69,960.94,960.94,968.75,976.56,976.56,992.19,1000,898.44,937.5,992.19,992.19,984.38
2430.0109,1630.26,243.68,1046.88,1046.88,914.06,1023.44,1023.44,1039.06,1046.88,1015.63,1062.5,984.38,1054.69,1085.94,1960.94,1117.19,1992.19,992.19,1078.13,1070.31,1914.06,1046.88,968.75,968.75,968.75,984.38,976.56,1000,992.19,898.44,945.31,1000,1000,984.38
2430.2382,1680.57,312.4,1054.69,1039.06,921.88,1031.25,1015.63,1046.88,1054.69,1015.63,1078.13,984.38,1062.5,1070.31,1960.94,1109.38,1992.19,1000,1070.31,1070.31,1906.25,1062.5,976.56,968.75,968.75,984.38,976.56,984.38,1000,898.44,929.69,984.38,992.19,984.38
